[2026-02-01 22:03:27] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1769994207320-940 | Titulo: Casa para Teste de Moderacao | Estado: Em Moderacao
[2026-02-01 22:03:27] EVENTO: APROVADO | Anuncio ID: ANU-1769994207320-940 | Titulo: Casa para Teste de Moderacao | Estado: Ativo
[2026-02-01 23:42:41] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770000161754-987 | Titulo: Casa para Teste de Moderacao | Estado: Em Moderacao
[2026-02-01 23:42:41] EVENTO: APROVADO | Anuncio ID: ANU-1770000161754-987 | Titulo: Casa para Teste de Moderacao | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917107-65 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917107-65 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917126-645 | Titulo: Apartamento para Alugar - Centro | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917126-645 | Titulo: Apartamento para Alugar - Centro | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: FINALIZADO | Anuncio ID: ANU-1770012917107-65 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Finalizado
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917185-793 | Titulo: Casa Popular em Valentina | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917185-793 | Titulo: Casa Popular em Valentina | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917187-379 | Titulo: Cobertura Duplex no Altiplano | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917187-379 | Titulo: Cobertura Duplex no Altiplano | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917190-960 | Titulo: Sala Comercial Centro Historico | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917190-960 | Titulo: Sala Comercial Centro Historico | Estado: Ativo
[2026-02-02 03:15:17] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770012917192-33 | Titulo: Casa Espaçosa em Manaira | Estado: Em Moderacao
[2026-02-02 03:15:17] EVENTO: APROVADO | Anuncio ID: ANU-1770012917192-33 | Titulo: Casa Espaçosa em Manaira | Estado: Ativo
[2026-02-06 00:50:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770349855291-977 | Titulo: Casa para Teste de Moderacao | Estado: Em Moderacao
[2026-02-06 00:50:55] EVENTO: APROVADO | Anuncio ID: ANU-1770349855291-977 | Titulo: Casa para Teste de Moderacao | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115250-894 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115250-894 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115261-723 | Titulo: Apartamento para Alugar - Centro | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115261-723 | Titulo: Apartamento para Alugar - Centro | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: FINALIZADO | Anuncio ID: ANU-1770351115250-894 | Titulo: Casa Maravilhosa em Manaira - Oportunidade Unica! | Estado: Finalizado
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115316-259 | Titulo: Casa Popular em Valentina | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115316-259 | Titulo: Casa Popular em Valentina | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115318-769 | Titulo: Cobertura Duplex no Altiplano | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115318-769 | Titulo: Cobertura Duplex no Altiplano | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115320-938 | Titulo: Sala Comercial Centro Historico | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115320-938 | Titulo: Sala Comercial Centro Historico | Estado: Ativo
[2026-02-06 01:11:55] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770351115327-653 | Titulo: Casa Espaçosa em Manaira | Estado: Em Moderacao
[2026-02-06 01:11:55] EVENTO: APROVADO | Anuncio ID: ANU-1770351115327-653 | Titulo: Casa Espaçosa em Manaira | Estado: Ativo
[2026-02-06 04:02:16] EVENTO: ENVIADO_MODERACAO | Anuncio ID: ANU-1770361336627-405 | Titulo: Casa para Teste de Moderacao | Estado: Em Moderacao
[2026-02-06 04:02:16] EVENTO: APROVADO | Anuncio ID: ANU-1770361336627-405 | Titulo: Casa para Teste de Moderacao | Estado: Ativo
